 Vinddata Oria.
 Longitude: 18.035 Latitude: 59.434
*******************************************************************
Datum:tid,Hastighet (m/S),Byar (m/s),Vindriktning (grader),OK?
2023-05-28 22:36:00,3.6,,30,False
2023-05-28 22:43:48,3.6,,30,False
2023-06-26 23:42:59,4.1,,120,False
